Video Title,Video ID,Published Date,Views,Likes,Comments,Engagement Rate (%),Description
AMD Out Here Saving Gaming - RX 9070 and 9070 XT Announcement,gKJJycCTeuU,2025-02-28T14:07:11Z,1925944,73513,4826,4.07,"Pre-order the NexiGo Aurora Pro MKII at: https://lmg.gg/AuroraProMKII

Wow, AMD. It may have taken Nvidia screwing up the RTX 50 series launch, but with the prices and performance you showed us today, you might just have a shot at gaining ground in the graphics card wars with the new Radeon RX 9070 XT. 

Discuss on the forum: https://linustechtips.com/topic/1603416-amd-out-here-saving-gaming-radeon-rx-9070-announcement/

► GET OUR MERCH: https://lttstore.com
► GET EXCLUSIVE CONTENT ON FLOATPLANE: https://lmg.gg/lttfloatplane
► GET A VPN: http://www.piavpn.com/linus
► SPONSORS, AFFILIATES, AND PARTNERS: https://lmg.gg/partners

Purchases made through some store links may provide some compensation to Linus Media Group.

CHAPTERS
---------------------------------------------------
0:00 Intro
1:32 RDNA4
2:22 Raytracing
3:00 AI
4:10 Media Engine
4:58 Hardware and Price
6:33 Performance
8:05 Availability
9:30 Driver Support
10:00 Conclusion"
"AMD, I Could Kiss You - 9070 and 9070 XT Review",ptp5suRDdQQ,2025-03-05T14:00:48Z,2451152,94149,7042,4.13,"Join us and over 70 million players in one of the most comprehensive vehicle combat games EVER MADE! Check out War Thunder for free today on PC, Console, and Mobile using our links!
PC/Console: https://wtplay.link/linustechtips
Mobile: https://wtm.game/linustechtips

It's finally here. After the terrible launch of the 5090, followed by the terrible launch of the RTX 4080, followed by the terrible launch of the 5070 Ti, followed by the terrible launch of Nvidia's RTX 5070. We FINALLY have a new GPU from AMD in the form the the 9070 XT and 9070. Built on RDNA4 this new generation of team red GPUS looks to bring the hurt to both Nvidia and Intel. But how much hurt, and where will it hurt the most? Find out in our review.

Discuss on the forum: https://linustechtips.com/topic/1604046-amd-i-could-kiss-you-9070-and-9070-xt-review/

Buy an AMD Radeon RX 9070 XT: https://geni.us/yr3c9n  (Amazon: https://geni.us/98AkAS)
Buy an AMD Radeon RX 9070: https://geni.us/3mdqXMV  (Amazon: https://geni.us/Am5a)
Buy a MSI Gaming Trio GeForce RTX 5090: https://geni.us/UWz9V6
Buy a PNY GeForce RTX 5080: https://geni.us/qFzMwnD
Buy a NVIDIA GeForce 5070 FE: https://geni.us/9qrVn
Buy a GIGABYTE Eagle OC ICE GeForce RTX 4070 Super: https://geni.us/LqdhN5
Buy a MSI Ventus GeForce RTX 4070 Ti SUPER: https://geni.us/kvm6
Buy a XFX Speedster MERC310 Radeon RX 7900 XTX: https://geni.us/EkudH5R
Buy a PowerColor Hellhound Radeon RX 7800 XT: https://geni.us/WhWPw

► GET OUR MERCH: https://lttstore.com
► GET EXCLUSIVE CONTENT ON FLOATPLANE: https://lmg.gg/lttfloatplane
► GET A VPN: http://www.piavpn.com/linus
► SPONSORS, AFFILIATES, AND PARTNERS: https://lmg.gg/partners

Purchases made through some store links may provide some compensation to Linus Media Group.

CHAPTERS
---------------------------------------------------
0:00 Intro
1:26 1440 Raster
3:13 4K Raster
4:54 RDNA4 Architecture
6:32 1080 and 1440 Ray Tracing
8:07 1080 Raster
8:47 FSR4 and AFMF 2.1
11:00 Productivity
13:11 Power and Thermals
14:24 Key Takeaways"
AMD Says You’re Doing it Wrong. - Best settings for AMD GPUs,RxjRyN-4VdI,2022-05-28T17:00:05Z,2853876,107308,3471,3.88,"Thanks to AMD for sponsoring this video! Learn more at https://lmg.gg/WAdzj

Buy an AMD Ryzen 7 5800X3D: https://geni.us/tnn0GBY

Buy an AMD Radeon RX 6950 XT: https://lmg.gg/brtnL

Buy an AMD Ryzen 7 5700X: https://geni.us/iIZeLJB

Buy an AMD Radeon RX 6750 XT: https://geni.us/DG0UoTU

Buy an AMD Ryzen 5 5600: https://geni.us/B6xE

Buy an AMD Radeon RX 6650 XT: https://geni.us/5Gz0n7

Buy an ROG Ryujin 240: https://geni.us/iIoj

Buy an ROG Thor 850W: https://geni.us/hm8kxQc

Buy a Corsair MP600: https://geni.us/hTIiyh

Buy a kit of Vengeance RGB 3600 16GB RAM: https://geni.us/epcOV

Buy an ROG Strix X570-E Gaming Wifi: https://geni.us/Z6oTluT

Buy a HYTE Y60 Mid-Tower: https://geni.us/8pV13t

Purchases made through some store links may provide some compensation to Linus Media Group.

Discuss on the forum: https://linustechtips.com/topic/1433822-amd-says-you%E2%80%99re-doing-it-wrong/

► GET MERCH: https://lttstore.com
► AFFILIATES, SPONSORS & REFERRALS: https://lmg.gg/sponsors
► PODCAST GEAR: https://lmg.gg/podcastgear
► SUPPORT US ON FLOATPLANE: https://www.floatplane.com/

FOLLOW US 
---------------------------------------------------  
Twitter: https://twitter.com/linustech
Facebook: http://www.facebook.com/LinusTech
Instagram: https://www.instagram.com/linustech
TikTok: https://www.tiktok.com/@linustech
Twitch: https://www.twitch.tv/linustech

MUSIC CREDIT
---------------------------------------------------
Intro: Laszlo - Supernova
Video Link: https://www.youtube.com/watch?v=PKfxmFU3lWY
iTunes Download Link: https://itunes.apple.com/us/album/supernova/id936805712
Artist Link: https://soundcloud.com/laszlomusic

Outro: Approaching Nirvana - Sugar High
Video Link: https://www.youtube.com/watch?v=ngsGBSCDwcI
Listen on Spotify: http://spoti.fi/UxWkUw
Artist Link: http://www.youtube.com/approachingnirvana

Intro animation by MBarek Abdelwassaa https://www.instagram.com/mbarek_abdel/
Monitor And Keyboard by vadimmihalkevich / CC BY 4.0  https://geni.us/PgGWp
Mechanical RGB Keyboard by BigBrotherECE / CC BY 4.0 https://geni.us/mj6pHk4
Mouse Gamer free Model By Oscar Creativo / CC BY 4.0 https://geni.us/Ps3XfE

CHAPTERS
---------------------------------------------------
0:00 Intro
1:08 Undervolt
3:28 Smart Access Memory
4:16 Resize BAR
4:50 RSR
5:50 Benchmarking
8:41 Conclusion"
This video will not age well... - AMD Radeon RX 7900 Series Review,TBJ-vo6Ri9c,2022-12-12T14:00:00Z,2593168,80251,5541,3.31,"Check out the MSI MAG Z790 TOMAHAWK WIFI Motherboard at https://geni.us/DPKSvO

Start your FREE PDQ trial now! - https://lmg.gg/PDQOct

AMD’s new RDNA3-based Radeon RX 7900 series GPUs are finally here to compete with Nvidia’s RTX 4080 and 4090! At a lower price point, can they live up to the hype?

Discuss on the forum: https://linustechtips.com/topic/1473515-this-video-will-not-age-well-amd-radeon-rx-7900-series-review/

Purchases made through some store links may provide some compensation to Linus Media Group.

► GET MERCH: https://lttstore.com
► SUPPORT US ON FLOATPLANE: https://www.floatplane.com/ltt
► AFFILIATES, SPONSORS & REFERRALS: https://lmg.gg/sponsors
► PODCAST GEAR: https://lmg.gg/podcastgear


FOLLOW US 
---------------------------------------------------  
Twitter: https://twitter.com/linustech
Facebook: http://www.facebook.com/LinusTech
Instagram: https://www.instagram.com/linustech
TikTok: https://www.tiktok.com/@linustech
Twitch: https://www.twitch.tv/linustech

MUSIC CREDIT
---------------------------------------------------
Intro: Laszlo - Supernova
Video Link: https://www.youtube.com/watch?v=PKfxmFU3lWY
iTunes Download Link: https://itunes.apple.com/us/album/supernova/id936805712
Artist Link: https://soundcloud.com/laszlomusic

Outro: Approaching Nirvana - Sugar High
Video Link: https://www.youtube.com/watch?v=ngsGBSCDwcI
Listen on Spotify: http://spoti.fi/UxWkUw
Artist Link: http://www.youtube.com/approachingnirvana

Intro animation by MBarek Abdelwassaa https://www.instagram.com/mbarek_abdel/
Monitor And Keyboard by vadimmihalkevich / CC BY 4.0  https://geni.us/PgGWp
Mechanical RGB Keyboard by BigBrotherECE / CC BY 4.0 https://geni.us/mj6pHk4
Mouse Gamer free Model By Oscar Creativo / CC BY 4.0 https://geni.us/Ps3XfE

CHAPTERS
---------------------------------------------------
0:00 Intro
1:15 Specs and AMD's chiplet special sauce
2:58 4K Gaming Benchmarks
4:35 1440p Gaming Benchmarks
5:46 RT Gaming Benchmarks
7:26 Productivity Benchmarks
9:45 Resizable BAR / Smart Access Memory
10:20 AMD's new video encoder... We ran out of time to test it
10:41 Thermals & Core Clocks
12:10 Power Consumption & Performance per Watt
13:00 Idly uncovering some powerful bugs
14:57 Is the GPU market saved?
17:07 DisplayPort 2.1 but not UHBR20
18:01 We're enthusiastic! But it's not perfect yet
19:00 Conclusion - My next GPU"
